algorithm,n,k,lcs_length,lcs_count,running time,memory usage
main,9,2,5,6,0.22,26341376
naive,9,2,5,6,0.22,26071040
main,14,2,8,18,0.25,26501120
naive,14,2,8,18,0.29,26152960
main,18,2,10,36,0.25,26546176
naive,18,2,10,36,0.29,26312704
main,23,2,13,108,0.36,26890240
naive,23,2,13,108,0.47,26439680
main,27,2,15,216,0.42,27054080
naive,27,2,15,216,1.55,26603520
main,32,2,18,648,0.71,27348992
naive,32,2,18,648,17.49,26755072
main,36,2,20,1296,1.43,27578368
naive,36,2,20,1296,78.59,26976256
main,41,2,23,3888,5.85,28057600
main,45,2,25,7776,17.03,29663232
main,50,2,28,23328,108.28,36245504
main,54,2,30,46656,236.45,44978176
