algorithm,n,k,lcs_length,lcs_count,running time,memory usage
main,9,4,5,6,0.30,27095040
naive,9,4,5,6,0.19,26013696
main,10,4,6,6,0.21,27406336
naive,10,4,6,6,0.17,25817088
main,11,4,7,6,0.21,27430912
naive,11,4,7,6,0.17,25903104
main,12,4,7,6,0.23,27656192
naive,12,4,7,6,0.17,25964544
main,13,4,8,6,0.23,27770880
naive,13,4,8,6,0.17,25919488
main,14,4,8,18,1.20,43790336
naive,14,4,8,18,0.23,26177536
main,15,4,8,18,1.22,44163072
naive,15,4,8,18,0.20,25993216
main,16,4,8,18,1.32,43814912
naive,16,4,8,18,0.26,26189824
main,17,4,9,36,3.49,59191296
naive,17,4,9,36,0.84,26198016
main,18,4,10,36,2.90,76099584
naive,18,4,10,36,0.78,26370048
main,19,4,11,36,3.10,91242496
naive,19,4,11,36,0.83,26275840
main,20,4,12,36,3.10,95281152
naive,20,4,12,36,0.77,26202112
main,21,4,12,36,3.08,95240192
naive,21,4,12,36,0.80,26374144
main,22,4,13,36,3.17,99454976
naive,22,4,13,36,0.88,26378240
main,23,4,13,108,37.85,561659904
naive,23,4,13,108,54.54,26406912
main,24,4,13,108,36.26,563625984
naive,24,4,13,108,52.06,26374144
main,25,4,13,108,36.55,563798016
naive,25,4,13,108,54.63,26435584
main,26,4,14,216,85.89,989171712
naive,26,4,14,216,908.17,26345472
main,27,4,15,216,86.04,1368322048
naive,27,4,15,216,934.94,26361856
main,28,4,16,216,91.70,1657364480
naive,28,4,16,216,966.87,26648576
main,29,4,17,216,90.29,1723662336
main,30,4,17,216,98.99,1701560320
main,31,4,18,216,100.03,1784385536
main,32,4,18,648,742.75,7428476928
main,33,4,18,648,710.99,7225425920
main,34,4,18,648,737.02,7146262528
