algorithm,n,k,lcs_length,lcs_count,running time,memory usage
main,18,2,10,36,0.21,26742784
naive,18,2,10,36,0.20,26144768
main,18,3,10,36,0.30,28450816
naive,18,3,10,36,0.24,26198016
main,18,4,10,36,2.82,76263424
naive,18,4,10,36,0.73,26341376
main,18,5,10,36,109.97,1443823616
naive,18,5,10,36,5.97,26329088
main,18,6,10,36,1000.59,7275016192
naive,18,6,10,36,38.73,26181632
main,18,7,10,36,1000.65,7842254848
naive,18,7,10,36,233.73,26279936
main,18,8,10,36,1001.10,9879252992
naive,18,8,10,36,1000.07,26112000
main,18,9,10,36,1001.20,9851932672
naive,18,9,10,36,1000.04,26148864
main,18,10,10,36,1000.73,8462245888
naive,18,10,10,36,1000.02,26038272
